n,Stopping Prime,Classical Time,Recursive Decomposition,Remainder After 3x,LN(N),RatioNwithStoppingPrime,Legendres Method Time,Recursive Method Time
1,,1.5808000171091408e-05,7.226997695397586e-06,,0.0,,,
2,2,5.840003723278642e-06,7.857001037336886e-06,4,0.6931471805599453,1.0,2.5033950805664062e-05,1.0013580322265625e-05
3,3,4.490000719670206e-06,6.8015004217159e-05,6,1.0986122886681098,1.0,2.288818359375e-05,4.649162292480469e-05
4,3,4.68800135422498e-06,4.9164002120960504e-05,5,1.3862943611198906,1.3333333333333333,2.47955322265625e-05,4.220008850097656e-05
5,3,4.226996679790318e-06,4.717900446848944e-05,4,1.6094379124341003,1.6666666666666667,2.6464462280273438e-05,4.1961669921875e-05
7,5,5.114001396577805e-06,5.5830001656431705e-05,8,1.9459101490553132,1.4,2.5987625122070312e-05,4.9591064453125e-05
9,5,5.203000910114497e-06,5.819799844175577e-05,6,2.1972245773362196,1.8,2.5033950805664062e-05,4.982948303222656e-05
11,5,5.93299773754552e-06,5.827799759572372e-05,4,2.3978952727983707,2.2,3.0517578125e-05,5.1975250244140625e-05
15,7,6.582995411008596e-06,6.230199505807832e-05,6,2.70805020110221,2.142857142857143,2.7418136596679688e-05,8.082389831542969e-05
19,11,6.509006198029965e-06,6.411600043065846e-05,14,2.9444389791664403,1.7272727272727273,2.6941299438476562e-05,5.7697296142578125e-05
29,11,7.602000550832599e-06,7.017199823167175e-05,4,3.367295829986474,2.6363636363636362,3.4809112548828125e-05,8.130073547363281e-05
35,13,8.939998224377632e-06,8.33790036267601e-05,4,3.5553480614894135,2.6923076923076925,3.2901763916015625e-05,8.20159912109375e-05
43,17,7.704002200625837e-06,0.00010486999963177368,8,3.7612001156935624,2.5294117647058822,3.528594970703125e-05,8.487701416015625e-05
50,19,9.360999683849514e-06,0.00014441800158238038,7,3.912023005428146,2.6315789473684212,3.695487976074219e-05,8.153915405273438e-05
101,37,1.3550998119171709e-05,0.0001290119980694726,10,4.61512051684126,2.72972972972973,4.863739013671875e-05,0.000118255615234375
251,89,3.327099693706259e-05,0.0002568740019341931,16,5.5254529391317835,2.8202247191011236,8.177757263183594e-05,0.000240325927734375
500,173,9.012500231619924e-05,0.0004729759966721758,19,6.214608098422191,2.8901734104046244,0.0001266002655029297,0.0004210472106933594
1013,347,0.000325510001857765,0.001127318995713722,28,6.920671504248683,2.919308357348703,0.00021529197692871094,0.0009102821350097656
2003,673,0.001175427998532541,0.0023725310020381585,16,7.602401335665818,2.976225854383358,0.0004057884216308594,0.0018970966339111328
4001,1361,0.004350734998297412,0.005879422002180945,82,8.294299608857235,2.9397501836884645,0.0007464885711669922,0.0037593841552734375
10009,3343,0.030000503997143824,0.023880252003436908,20,9.211239967219019,2.994017349685911,0.0019047260284423828,0.011417627334594727
16067,5381,0.07457553700078279,0.05204307100211736,76,9.684522758043336,2.985876231183795,0.0027475357055664062,0.01632976531982422
25000,8353,0.1864662110019708,0.11853637799504213,59,10.126631103850338,2.9929366694600743,0.0042536258697509766,0.025907039642333984
50021,16691,0.7982062810042407,0.45232343099633,52,10.820198196234971,2.9968845485591036,0.008437633514404297,0.05428504943847656
64000,21341,1.349049787997501,0.7550376059953123,23,11.06663836234181,2.998922262311982,0.01061868667602539,0.0703728199005127
100003,33343,3.465347520002979,1.955987543995434,26,11.512955464520237,2.999220226134421,0.0163419246673584,0.11579084396362305
126719,42257,5.679870384999958,3.165699434997805,52,11.749727315602973,2.9987694346498803,0.020856857299804688,0.14969086647033691
250000,83339,24.042197096001473,13.110430695000105,17,12.429216196844383,2.9997960138710567,0.040787458419799805,0.3164246082305908
500057,166693,104.216833845996,55.34084899199661,22,13.122477370906823,2.999868020852705,0.08430743217468262,0.6640398502349854
750019,250013,244.00124322299962,128.9331394740002,20,13.527853818524942,2.9999200041597835,0.12996292114257812,1.0336389541625977
1000000,333337,453.19961796700227,238.15432381500432,11,13.815510557964274,2.999967000362996,0.1818852424621582,1.3801369667053223
